"ID","SESCORE__SUPPORTER_ID__C","MAILINGSTATE","STATUS"
"0035g00000ob3ZrAAI","S0475353M1","Kedah","Item Updated"
"0035g00000mg7reAAA","S0137828M1","Kedah","Item Updated"
"0035g00000mg7rnAAA","S0137837M1","Kedah","Item Updated"
"0035g00000mg7rzAAA","S0137849M1","Kedah","Item Updated"
"0035g00000mg3PGAAY","S0120807M1","Kedah","Item Updated"
"0035g00000mgHWlAAM","S0174318M1","Kedah","Item Updated"
"0035g00000mg6f4AAA","S0133239M1","Kedah","Item Updated"
"0035g00000mgBtzAAE","S0153249M1","Kedah","Item Updated"
"0035g00000mgEDmAAM","S0161809M1","Kedah","Item Updated"
"0035g00000mg4abAAA","S0125314M1","Kedah","Item Updated"
"0035g00000ob11jAAA","S0465597M1","Kedah","Item Updated"
"0035g00000oajksAAA","S0400444M1","Kedah","Item Updated"
"0035g00000oazmEAAQ","S0460832M1","Kedah","Item Updated"
"0035g00000oaojIAAQ","S0419151M1","Kedah","Item Updated"
"0035g00000oau9zAAA","S0439631M1","Kedah","Item Updated"
"0035g00000mgAujAAE","S0149486M1","Kedah","Item Updated"
"0035g00000mgAvAAAU","S0149513M1","Kedah","Item Updated"
"0035g00000mgFOSAA2","S0166235M1","Kedah","Item Updated"
"0035g00000mgFNvAAM","S0166202M1","Kedah","Item Updated"
"0035g00000oan9bAAA","S0413329M1","Kedah","Item Updated"
"0035g00000oamK3AAI","S0410163M1","Kedah","Item Updated"
"0035g00000oajxnAAA","S0401240M1","Kedah","Item Updated"
"0035g00000oarNMAAY","S0429117M1","Kedah","Item Updated"
"0035g00000ob6TEAAY","S0486464M1","Kedah","Item Updated"
"0035g00000obBI3AAM","S0504976M1","Kedah","Item Updated"
"0035g00000oaztXAAQ","S0461285M1","Kedah","Item Updated"
"0035g00000oat77AAA","S0435699M1","Kedah","Item Updated"
"0035g00000mgHuBAAU","S0175755M1","Kedah","Item Updated"
"0035g00000qkCU1AAM","S0534359M1","Kedah","Item Updated"
"0035g00000uhwaiAAA","S0544847M1","Kedah","Item Updated"
"0035g00000vu7gjAAA","S0550759M1","Kedah","Item Updated"
"0035g00000y4CDfAAM","S0562612M1","Kedah","Item Updated"
"0035g00000y7QSaAAM","S0570699M1","Kedah","Item Updated"
"0035g000013jbCPAAY","S0592707M1","Kedah","Item Updated"
"0035g000013ORCVAA4","S0588601M1","Kedah","Item Updated"
"0035g000015wUttAAE","S0602569M1","Kedah","Item Updated"
"0035g00001BOZHeAAP","S0621769M1","Kedah","Item Updated"
"0035g000017Ec1GAAS","S0609559M1","Kedah","Item Updated"
"0035g00001BPxItAAL","S0623957M1","Kedah","Item Updated"
"0035g000017GPLsAAO","S0612651M1","Kedah","Item Updated"
"0035g00001AURBbAAP","S0618899M1","Kedah","Item Updated"
"0035g00000mgRcHAAU","S0212555M1","Kedah","Item Updated"
"0035g00000mgQJJAA2","S0207585M1","Kedah","Item Updated"
"003J10000024fgHIAQ","S0647102M1","Kedah","Item Updated"
"0035g00000mfsG7AAI","S0078806M1","Kedah","Item Updated"
"0035g00000y6EKsAAM","S0569166M1","Kedah","Item Updated"
"0035g00000mgJdVAAU","S0182149M1","Kedah","Item Updated"
"0035g00000mgKN8AAM","S0184958M1","Kedah","Item Updated"
"0035g00000mffOMAAY","S0030045M1","Kedah","Item Updated"
"0035g00000mflsYAAQ","S0054666M1","Kedah","Item Updated"
"0035g00000mfjmbAAA","S0046839M1","Kedah","Item Updated"
"0035g00000mfl5JAAQ","S0051638M1","Kedah","Item Updated"
"0035g00000mfl5NAAQ","S0051642M1","Kedah","Item Updated"
"0035g00000mfl51AAA","S0051620M1","Kedah","Item Updated"
"0035g00000mg1xvAAA","S0115278M1","Kedah","Item Updated"
"0035g00000mg1xmAAA","S0115269M1","Kedah","Item Updated"
"0035g00000mfl5yAAA","S0051679M1","Kedah","Item Updated"
"0035g00000mg1xrAAA","S0115274M1","Kedah","Item Updated"
"0035g00000mfl4vAAA","S0051614M1","Kedah","Item Updated"
"0035g00000mg2zyAAA","S0119244M1","Kedah","Item Updated"
"0035g00000oab3JAAQ","S0368100M1","Kedah","Item Updated"
"0035g00000mgnQnAAI","S0295396M1","Kedah","Item Updated"
"0035g00000oaRM1AAM","S0331890M1","Kedah","Item Updated"
"0035g00000oaQu7AAE","S0330200M1","Kedah","Item Updated"
"0035g00000mfoZsAAI","S0064935M1","Kedah","Item Updated"
"0035g00000mfnPgAAI","S0060514M1","Kedah","Item Updated"
"0035g00000oaWlSAAU","S0352047M1","Kedah","Item Updated"
"0035g00000mgWP2AAM","S0230859M1","Kedah","Item Updated"
"0035g00000oaSuIAAU","S0337724M1","Kedah","Item Updated"
"0035g00000mge2PAAQ","S0259878M1","Kedah","Item Updated"
"0035g00000oaSsQAAU","S0337608M1","Kedah","Item Updated"
"0035g00000oabw2AAA","S0371119M1","Kedah","Item Updated"
"0035g00000oaWvIAAU","S0352647M1","Kedah","Item Updated"
"0035g00000oaQLvAAM","S0328085M1","Kedah","Item Updated"
"0035g00000mgnIqAAI","S0294903M1","Kedah","Item Updated"
"0035g00000mgtb5AAA","S0318098M1","Kedah","Item Updated"
"0035g00000mgmFvAAI","S0290943M1","Kedah","Item Updated"
"0035g00000oadYjAAI","S0377297M1","Kedah","Item Updated"
"0035g00000oae7VAAQ","S0379278M1","Kedah","Item Updated"
"0035g00000oadU0AAI","S0377004M1","Kedah","Item Updated"
"0035g00000oadSgAAI","S0376922M1","Kedah","Item Updated"
"0035g00000mgqT5AAI","S0306669M1","Kedah","Item Updated"
"0035g00000mgdjKAAQ","S0258705M1","Kedah","Item Updated"
"0035g00000mgvOVAAY","S0324901M1","Kedah","Item Updated"
"0035g00000mg9XwAAI","S0144264M1","Kedah","Item Updated"
"0035g00000mg3PdAAI","S0120830M1","Kedah","Item Updated"
"0035g00000mg7siAAA","S0137894M1","Kedah","Item Updated"
"0035g00000mgiQ2AAI","S0276599M1","Kedah","Item Updated"
"0035g00000oac9TAAQ","S0371952M1","Kedah","Item Updated"
"0035g00000mg3CVAAY","S0120021M1","Kedah","Item Updated"
"0035g00001BQCOPAA5","S0624585M1","Kedah","Item Updated"
"0035g00001BQCEqAAP","S0624664M1","Kedah","Item Updated"
"0035g00000oag2XAAQ","S0386408M1","Kedah","Item Updated"
"0035g00000mg2swAAA","S0118808M1","Kedah","Item Updated"
"0035g00000oaqC3AAI","S0424638M1","Kedah","Item Updated"
"0035g00000oaumjAAA","S0442003M1","Kedah","Item Updated"
"0035g00000oaj8mAAA","S0398082M1","Kedah","Item Updated"
"0035g00000oattnAAA","S0438642M1","Kedah","Item Updated"
"0035g00000oatu5AAA","S0438660M1","Kedah","Item Updated"
"0035g00000oak9yAAA","S0401995M1","Kedah","Item Updated"
"0035g00000oaj8vAAA","S0398091M1","Kedah","Item Updated"
"0035g00000mg6S8AAI","S0132442M1","Kedah","Item Updated"
"0035g00000mgDpFAAU","S0160303M1","Kedah","Item Updated"
"0035g00000oal33AAA","S0405405M1","Kedah","Item Updated"
"0035g00000oavhDAAQ","S0445414M1","Kedah","Item Updated"
"0035g00000oaxIAAAY","S0451475M1","Kedah","Item Updated"
"0035g00000mg86LAAQ","S0138734M1","Kedah","Item Updated"
"0035g00000mgDTPAA2","S0158984M1","Kedah","Item Updated"
"0035g00000oaqthAAA","S0427304M1","Kedah","Item Updated"
"0035g00000oayXnAAI","S0456208M1","Kedah","Item Updated"
"0035g00000obARAAA2","S0501697M1","Kedah","Item Updated"
"0035g00000oajnWAAQ","S0400608M1","Kedah","Item Updated"
"0035g00000oay00AAA","S0454148M1","Kedah","Item Updated"
"0035g00000oai0nAAA","S0393768M1","Kedah","Item Updated"
"0035g00000oaijWAAQ","S0396541M1","Kedah","Item Updated"
"0035g00000oaihiAAA","S0396429M1","Kedah","Item Updated"
"0035g00000oakV4AAI","S0403303M1","Kedah","Item Updated"
"0035g00000oafUhAAI","S0384430M1","Kedah","Item Updated"
"0035g00000ob4UGAAY","S0478850M1","Kedah","Item Updated"
"0035g00000oafaaAAA","S0384795M1","Kedah","Item Updated"
"0035g00000oaxtXAAQ","S0453752M1","Kedah","Item Updated"
"0035g00000oavcMAAQ","S0445124M1","Kedah","Item Updated"
"0035g00000oahmNAAQ","S0392874M1","Kedah","Item Updated"
"0035g00000mgJ8zAAE","S0180287M1","Kedah","Item Updated"
"0035g00000oeFKYAA2","S0530900M1","Kedah","Item Updated"
"0035g00000mgLJSAA2","S0188559M1","Kedah","Item Updated"
"0035g00000mgNsbAAE","S0198346M1","Kedah","Item Updated"
"0035g00000uhKePAAU","S0543819M1","Kedah","Item Updated"
"0035g00000uGaFxAAK","S0541546M1","Kedah","Item Updated"
"0035g000015vnNDAAY","S0600713M1","Kedah","Item Updated"
"0035g00000ui2opAAA","S0545244M1","Kedah","Item Updated"
"0035g00000y58loAAA","S0565390M1","Kedah","Item Updated"
"0035g00000y7XrCAAU","S0571102M1","Kedah","Item Updated"
"0035g00000y7YYxAAM","S0571381M1","Kedah","Item Updated"
"0035g00000zYQFWAA4","S0573074M1","Kedah","Item Updated"
"0035g000014QMxoAAG","S0590350M1","Kedah","Item Updated"
"0035g000014QMsKAAW","S0590334M1","Kedah","Item Updated"
"0035g00000zaEVGAA2","S0578592M1","Kedah","Item Updated"
"0035g000013M8d2AAC","S0585295M1","Kedah","Item Updated"
"0035g00000zbGphAAE","S0581251M1","Kedah","Item Updated"
"0035g000015vmkzAAA","S0600033M1","Kedah","Item Updated"
"0035g00001D9ZWMAA3","S0628904M1","Kedah","Item Updated"
"0035g000015uwt0AAA","S0598516M1","Kedah","Item Updated"
"0035g000015AhGNAA0","S0594758M1","Kedah","Item Updated"
"0035g000015AdLBAA0","S0593575M1","Kedah","Item Updated"
"0035g000017DLf0AAG","S0607750M1","Kedah","Item Updated"
"0035g000015vrY6AAI","S0601804M1","Kedah","Item Updated"
"0035g000015ujPiAAI","S0598134M1","Kedah","Item Updated"
"0035g000017CbNKAA0","S0604775M1","Kedah","Item Updated"
"0035g000018qW1sAAE","S0615055M1","Kedah","Item Updated"
"0035g00000mfbUXAAY","S0015212M1","Kedah","Item Updated"
"0035g00000mfbUgAAI","S0015221M1","Kedah","Item Updated"
"0035g00000mfltZAAQ","S0054729M1","Kedah","Item Updated"
"0035g00000zZU8TAAW","S0575974M1","Kedah","Item Updated"
"0035g00000mgLPlAAM","S0188945M1","Kedah","Item Updated"
"0035g00000mfjbHAAQ","S0046142M1","Kedah","Item Updated"
"0035g00000ocHcVAAU","S0523046M1","Kedah","Item Updated"
"0035g00000mfl1LAAQ","S0051392M1","Kedah","Item Updated"
"0035g00000mgg6vAAA","S0267795M1","Kedah","Item Updated"
"0035g00000mgYQ3AAM","S0238545M1","Kedah","Item Updated"
"0035g00000oaSm6AAE","S0337216M1","Kedah","Item Updated"
"0035g00000oaS0nAAE","S0334408M1","Kedah","Item Updated"
"0035g00000oaSn2AAE","S0337274M1","Kedah","Item Updated"
"0035g00000mgjgwAAA","S0281376M1","Kedah","Item Updated"
"0035g00000mfuDQAAY","S0085992M1","Kedah","Item Updated"
"0035g00000mfs3fAAA","S0078038M1","Kedah","Item Updated"
"0035g00000mg1r6AAA","S0114859M1","Kedah","Item Updated"
"0035g00000mgYWPAA2","S0238939M1","Kedah","Item Updated"
"0035g00000mgcRrAAI","S0253893M1","Kedah","Item Updated"
"0035g00000mfvdAAAQ","S0091316M1","Kedah","Item Updated"
"0035g00000mg2T0AAI","S0117200M1","Kedah","Item Updated"
"0035g00000mfrzMAAQ","S0077772M1","Kedah","Item Updated"
"0035g00000mfryaAAA","S0077724M1","Kedah","Item Updated"
"0035g00000mfu8PAAQ","S0085740M1","Kedah","Item Updated"
"0035g00000mfu8YAAQ","S0085749M1","Kedah","Item Updated"
"0035g00000oaa4sAAA","S0364509M1","Kedah","Item Updated"
"0035g00000oaa5NAAQ","S0364540M1","Kedah","Item Updated"
"0035g00000mgsncAAA","S0315146M1","Kedah","Item Updated"
"0035g00000mguoqAAA","S0322710M1","Kedah","Item Updated"
"0035g00000mgnDSAAY","S0294579M1","Kedah","Item Updated"
"0035g00000oaZprAAE","S0363633M1","Kedah","Item Updated"
"0035g00000mgfh0AAA","S0266199M1","Kedah","Item Updated"
"0035g00000oaaMjAAI","S0365551M1","Kedah","Item Updated"
"0035g00000mgdiiAAA","S0258667M1","Kedah","Item Updated"
"0035g00000oaaG4AAI","S0365138M1","Kedah","Item Updated"
"0035g00000mgvxiAAA","S0327057M1","Kedah","Item Updated"
"0035g00000mgirDAAQ","S0278239M1","Kedah","Item Updated"
"0035g00000mguP5AAI","S0321133M1","Kedah","Item Updated"
"0035g00000oayDEAAY","S0454953M1","Kedah","Item Updated"
"0035g00000oapupAAA","S0423580M1","Kedah","Item Updated"
"0035g00000ob9bLAAQ","S0498489M1","Kedah","Item Updated"
"0035g00000oahdmAAA","S0392346M1","Kedah","Item Updated"
"0035g00000oahdoAAA","S0392348M1","Kedah","Item Updated"
"0035g00000oaqbsAAA","S0426219M1","Kedah","Item Updated"
"0035g00000oajTTAAY","S0399365M1","Kedah","Item Updated"
"0035g00000mg3OzAAI","S0120790M1","Kedah","Item Updated"
"0035g00000mgAakAAE","S0148252M1","Kedah","Item Updated"
"0035g00000mg3PTAAY","S0120820M1","Kedah","Item Updated"
"0035g00000mgAc7AAE","S0148337M1","Kedah","Item Updated"
"0035g00000mg7sJAAQ","S0137869M1","Kedah","Item Updated"
"0035g00000mgAbxAAE","S0148327M1","Kedah","Item Updated"
"0035g00000mg35BAAQ","S0119567M1","Kedah","Item Updated"
"0035g00000mgELWAA2","S0162289M1","Kedah","Item Updated"
"0035g00000mgAzKAAU","S0149766M1","Kedah","Item Updated"
"0035g00000mgAzDAAU","S0149759M1","Kedah","Item Updated"
"0035g00000mgAzIAAU","S0149764M1","Kedah","Item Updated"
"0035g00000mg8a7AAA","S0140575M1","Kedah","Item Updated"
"0035g00000oajcpAAA","S0399945M1","Kedah","Item Updated"
"0035g00000oaqcXAAQ","S0426260M1","Kedah","Item Updated"
"0035g00000oaq6hAAA","S0424306M1","Kedah","Item Updated"
"0035g00000oal2sAAA","S0405394M1","Kedah","Item Updated"
"0035g00000oaq5dAAA","S0424240M1","Kedah","Item Updated"
"0035g00000ob4zrAAA","S0480809M1","Kedah","Item Updated"
"0035g00000oaqOUAAY","S0425399M1","Kedah","Item Updated"
"0035g00000oai9NAAQ","S0394300M1","Kedah","Item Updated"
"0035g00000mg6YeAAI","S0132846M1","Kedah","Item Updated"
"0035g00000mg6XVAAY","S0132775M1","Kedah","Item Updated"
"0035g00000mg8w7AAA","S0141929M1","Kedah","Item Updated"
"0035g00000ob0duAAA","S0464160M1","Kedah","Item Updated"
"0035g00000oawVrAAI","S0448519M1","Kedah","Item Updated"
"0035g00000oajDxAAI","S0398403M1","Kedah","Item Updated"
"0035g00000oaebeAAA","S0381077M1","Kedah","Item Updated"
"0035g00000oajlfAAA","S0400493M1","Kedah","Item Updated"
"0035g00000mgAv7AAE","S0149510M1","Kedah","Item Updated"
"0035g00000mgFOMAA2","S0166229M1","Kedah","Item Updated"
"0035g00000mgFOTAA2","S0166236M1","Kedah","Item Updated"
"0035g00000mgFMpAAM","S0166134M1","Kedah","Item Updated"
"0035g00000mgFMsAAM","S0166137M1","Kedah","Item Updated"
"0035g00000mgFN3AAM","S0166148M1","Kedah","Item Updated"
"0035g00000mgFN7AAM","S0166152M1","Kedah","Item Updated"
"0035g00000mgJCpAAM","S0180525M1","Kedah","Item Updated"
"0035g00000mgFNCAA2","S0166157M1","Kedah","Item Updated"
"0035g00000mgFNQAA2","S0166171M1","Kedah","Item Updated"
"0035g00000mgFO0AAM","S0166207M1","Kedah","Item Updated"
"0035g00000oavHUAAY","S0443850M1","Kedah","Item Updated"
"0035g00000oakHlAAI","S0402478M1","Kedah","Item Updated"
"0035g00000oav2CAAQ","S0442912M1","Kedah","Item Updated"
"0035g00000oasOLAAY","S0432963M1","Kedah","Item Updated"
"0035g00000oas6eAAA","S0431881M1","Kedah","Item Updated"
"0035g00000oazBlAAI","S0458576M1","Kedah","Item Updated"
"0035g00000ob1C4AAI","S0466238M1","Kedah","Item Updated"
"0035g00000oao3gAAA","S0416746M1","Kedah","Item Updated"
"0035g00000mgMG7AAM","S0192146M1","Kedah","Item Updated"
"0035g00000oe0bZAAQ","S0530475M1","Kedah","Item Updated"
"0035g00000s7WPjAAM","S0535226M1","Kedah","Item Updated"
"0035g00000ui2Z6AAI","S0545163M1","Kedah","Item Updated"
"0035g00000uiEu7AAE","S0545782M1","Kedah","Item Updated"
"0035g00000xLPv9AAG","S0554989M1","Kedah","Item Updated"
"0035g00000y4BuZAAU","S0562753M1","Kedah","Item Updated"
"0035g00000y7KGmAAM","S0570622M1","Kedah","Item Updated"
"0035g00000y7D4YAAU","S0570275M1","Kedah","Item Updated"
"0035g00000y482yAAA","S0562407M1","Kedah","Item Updated"
"0035g00000y6E2dAAE","S0568750M1","Kedah","Item Updated"
"0035g00000y5avqAAA","S0567241M1","Kedah","Item Updated"
"0035g00000zc5BvAAI","S0583372M1","Kedah","Item Updated"
"0035g00000zbulUAAQ","S0582687M1","Kedah","Item Updated"
